array,camera,site,buff_dist,buffer_area,harvest_area,well_bitumen,well_oil,pipeline,well_other,clearing_wellpad_unconfirmed,clearing_unknown,well_aband,misc_oil_gas_facility,urban_residence,country_residence,conventional_seismic,trail,harvest_area_white_zone,rough_pasture,well_gas,well_cased,vegetated_edge_roads,road_gravel_1l,road_gravel_2l,road_unimproved,truck_trail,road_unclassified,road_paved_undiv_2l,borrowpits,borrowpit_dry,borrowpit_wet,sump,low_impact_seismic,oil_gas_plant,grvl_sand_pit,transmission_line,surrounding_veg,camp_industrial,vegetated_edge_railways,facility_unknown,lagoon,runway,facility_other,open_pit_mine,ris_transmission_line,ris_clearing_unknown,ris_facility_unknown,ris_facility_operations,ris_plant,urban_industrial,ris_oilsands_rms,ris_reclaimed_permanent,mines_oilsands,ris_soil_salvaged,ris_waste,ris_drainage,ris_road,airp_runway,ris_borrowpits,tame_pasture,ris_tailing_pond,ris_reclaimed_temp,road_winter,recreation,greenspace,well_cleared_not_confirmed,ris_reclaimed_certified,ris_soil_replaced,ris_mines_oilsands,ris_windrow,tailing_pond,ris_overburden_dump,canal,rlwy_mlt_track,road_paved_2l,road_unpaved_2l,road_paved_3l,road_paved_div,campground,reservoir,road_paved_1l,cultivation_abandoned,rlwy_sgl_track,crop,rural_residence,road_paved_undiv_1l,residence_clearing,golfcourse,landfill,transfer_station,well_cleared_not_drilled,well_unknown,ris_camp_industrial,ris_utilities,ris_reclaim_ready,ris_airp_runway,dugout,ris_tank_farm,mill,mines_pitlake,rlwy_dbl_track,road_paved_4l,interchange_ramp,road_paved_5l,lc_class20,lc_class32,lc_class33,lc_class34,lc_class50,lc_class110,lc_class120,lc_class210,lc_class220,lc_class230
LU09,5,LU09_5,250,196259.83591095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06874147353988601,0,0.030723257026497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019356227651557104,0,0,0.202157706836989,0,0,0,0.7317978240215861,0.0466881433896024,0
LU09,6,LU09_6,250,196259.835911033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06596626171418861,0,0.029058140619541997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17681018475343804,0,0,0,0.029707095764424103,0.4688292983045641,0.32465340859351394
LU09,7,LU09_7,250,196259.835910961,0,0,0,0,0,0,0,1.696976433909401e-5,0,0,0,0.008667732280297286,0,0,0,0,0,0.09146220281461932,0,0,0,0,0,0.03932347540563119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239019666603731,0,0,0,0.516076196431151,0.17295447882644205,0.0719496062085955
LU09,8,LU09_8,250,196259.835910984,0,0,0,0,0,0,0,0,0,0,0,0.0012378306145361302,0,0,0,0,0,0.0680394582085413,0,0,0,0,0,0.030427253678456598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09829561352448161,0,0,0,0.060188803682011294,0.841515574103855,0
LU09,100,LU09_100,250,196259.835910934,0,0.08998121431997079,0,0.048022045836098794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020776532165657207,0.0178250020389236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06887963038375869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234255725300344,0,0.746807495743412,0,0.018936728842520602,0,0
LU09,102,LU09_102,250,196259.83591098702,0,0,0,0,0,0,0,0,0,0,0,0.043661184928612706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34273780149055894,0,0,0.262781623767397,0.14452916884196904,0.24995140590252304
LU09,106,LU09_106,250,196259.83591099098,0,0.044018127361441006,0,0.00721839827310143,0,0,0,0,0,0,0,0.010476788493860101,0,0,0,0,0,0.01796445182353751,0.010006965761766105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042863514645939106,0,0.9571364950328449,0,0,0,0
LU09,112,LU09_112,250,196259.835910913,0,0,0,0.0189638421362452,0,0,0,0,0,0,0,0.037621618720702917,0,0,0,0,0,0.022812042146723797,0.02295869622782781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171572856115807,0.750990292854915,0.07743682544478102,0,0,0,0
LU09,113,LU09_113,250,196259.835910942,0,0.0399584751739423,0,0.028959091952509505,0,0,0,0,0,0,0,0,0,0,0,0,0.0274727192540499,0.0369723049496717,0.0304115942343421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176169309214725,0,0,0,0.3318324346866349,0,0.49199827380779204
LU09,12,LU09_12,250,196259.835911004,0,0,0,0,0,0,0,0,0,0,0,0.006342141406440021,0,0,0,0,0,0.06773011647748761,0,0,0,0,0,0.0290921871421907,0,0,0.146681597731459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17047207342263102,0,0,0,0,0.829527811327939,0
